17:40:18.757 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:50.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:51.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:52.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:53.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.403 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:54.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:55.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:56.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:57.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:58.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.793 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:59.914 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.034 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.154 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.274 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.394 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.514 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.634 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.874 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:00.994 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.234 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.354 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.474 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.594 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:01.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.434 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:02.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:02.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:03.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:03.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:03.273 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:42:03.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:03.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:03.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:03.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:03.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:03.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.114 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.234 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.474 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:04.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:05.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:05.194 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:05.314 > backward |  | servo turn 90 degree | gripper on
17:42:05.434 > backward | servo y-axis (down) | servo turn 90 degree | gripper on
17:42:05.554 > backward | servo y-axis (down) | servo turn 90 degree | gripper on
17:42:05.674 > Left | servo y-axis (down) | servo turn 90 degree | gripper on
17:42:05.794 > Left | servo y-axis (down) | servo turn 90 degree | gripper on
17:42:05.914 > Left |  | servo turn 90 degree | gripper on
17:42:06.034 > forward |  | servo turn 90 degree | gripper on
17:42:06.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:06.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:07.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:07.234 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:07.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:07.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:07.593 > Left | servo y-axis (up) | servo turn 180 degree | gripper off
17:42:07.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:07.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:07.953 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:08.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:08.193 > Left | servo y-axis (up) | servo turn 90 degree | gripper off
17:42:08.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:08.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:08.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:08.674 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:08.793 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:08.914 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:09.034 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:09.154 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:09.274 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:09.393 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:42:09.513 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:42:09.634 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:42:09.753 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:42:09.873 > Left | servo y-axis (up) | servo turn 0 degree | gripper off
17:42:09.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:10.114 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:42:10.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:10.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:10.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:10.594 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:42:10.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:10.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:10.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.194 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.314 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.793 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:11.913 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.154 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:12.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:13.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:14.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.040 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.273 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:15.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.113 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:16.953 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.193 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.313 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.553 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.793 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:17.913 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.033 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.273 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:18.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.113 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:19.953 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.193 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.313 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.553 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:20.913 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.033 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.273 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:21.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.113 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:22.953 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.193 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.313 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.553 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.793 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:23.913 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.033 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.273 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:24.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.113 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:25.953 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.193 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.313 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.553 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.793 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:26.913 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.033 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.273 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:27.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.113 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.833 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:28.953 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.073 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.193 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.313 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.433 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.553 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.673 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.793 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:29.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.033 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.153 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.273 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:30.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.113 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.233 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.353 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.473 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.593 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.713 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.833 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:31.953 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.073 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.193 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.313 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.433 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.553 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.673 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.793 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:32.913 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.033 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.153 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.273 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.393 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.513 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.633 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.753 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.873 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:33.993 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:34.113 > Stop | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:34.233 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
17:42:34.353 > Right | servo y-axis (up) | servo turn 90 degree | gripper on
